"event_id,transaction_id,user_id,card_id,merchant_id,merchant_category,mcc,amount,currency,channel,txn_ts,last_txn_ts,distance_km_from_last,time_diff_min,velocity_km_per_min,device_id,device_trust_score,ip_country,merchant_risk_score,base_anomaly_score,model_score,rule_triggered,label,intervention_required,user_response,response_time_sec"
"E4_30C40E71178D,T000008804,U003577,C0005547,M00212,Fuel,5541,2082.75,INR,ATM,2026-03-07 12:53:51,2026-03-05 18:24:56,1712.7234590181833,2548.9166666666665,0.6719417238767517,D29904227,0.8452867970149834,IN,0.20771775376976315,0.4453930414749916,0.26797601121746834,,normal,0,NA,0"
"E4_87326DF1774D,T000064913,U003961,C0006141,M00327,Fuel,5541,2387.92,INR,POS,2026-03-08 16:17:52,2026-02-26 14:17:25,7317.9597685964945,14520.45,0.5039761005062856,D01924549,0.7044869838488992,GB,0.17572092363164127,0.34184501263144257,0.18867849555506538,,normal,0,NA,0"
"E4_A56BE029D606,T000113125,U002990,C0004670,M00713,ATM,6011,5597.02,INR,POS,2026-01-28 13:53:27,2026-01-22 08:28:05,7315.591618868583,8965.366666666667,0.8159835387511851,D49105359,0.6356589956813774,IN,0.35797222384237143,0.7265344680309469,0.4003735003043744,,normal,0,NA,0"
"E4_4C9C3484FC0F,T000060153,U002510,C0003899,M00275,Fashion,5651,7582.04,INR,QR,2026-02-15 17:13:49,2026-02-14 09:58:18,7319.4889626387985,1875.5166666666667,3.902652049287111,D33993861,0.4734633899490318,IN,0.182870207375521,0.5294655547388021,0.43014799603130593,,normal,0,NA,0"
"E4_3B38D52672E8,T000032547,U002307,C0003576,M00397,Electronics,5732,131.75,GBP,POS,2026-03-20 11:10:46,2026-03-15 06:28:47,8065.929083809101,7481.983333333334,1.0780469194410263,D34538660,1.0,US,0.4449478793274507,0.3114857184262031,0.2974457308989214,,normal,0,NA,0"
"E4_D4C5EA819ED7,T000066012,U003633,C0005632,M00416,Electronics,5732,6434.75,INR,POS,2026-03-01 05:35:17,2026-02-06 16:19:03,83.83252619908882,32476.233333333334,0.0025813500395393397,D45499112,0.9313267619863252,IN,0.37151286969604563,0.283667110125186,0.16335754597052593,,normal,0,NA,0"
"E4_D6AD8C9BDE31,T000104960,U004265,C0006599,M00229,Grocery,5411,2065.89,INR,POS,2026-02-24 12:23:21,2026-01-28 18:29:32,6708.599848446307,38513.816666666666,0.17418683550655562,D41203588,0.6121246750930623,GB,0.06716918854309012,0.4557780598374165,0.26728649830391266,,normal,0,NA,0"
"E4_C944A2A9C075,T000000208,U002626,C0004075,M00022,Travel,4511,26208.08,INR,ATM,2026-02-11 20:01:15,2026-02-07 17:34:58,6835.983373630043,5906.283333333334,1.1574086422589576,D88931966,0.8273908956593926,GB,0.28418299557600657,0.2170359761208068,0.11802055660674429,,normal,0,NA,0"
"E4_A4DF377DA004,T000008969,U001430,C0002227,M00261,Grocery,5411,2204.99,INR,ATM,2026-02-17 09:21:26,2026-02-08 09:19:07,8.949064574417926,12962.316666666668,0.0006903908309408112,D69313818,0.5246417317799748,IN,0.13423602056840284,0.43532130355327836,0.3820430514719306,,normal,0,NA,0"
"E4_5603ADB7709F,T000062100,U004140,C0006414,M00640,Fashion,5651,85.64,GBP,POS,2026-03-30 19:40:44,2026-03-22 21:11:25,6713.337807294952,11429.316666666668,0.5873787561485844,D67856176,0.5850580837908284,SG,0.24436793183508157,0.49536667208105906,0.3848282729297817,,normal,0,NA,0"
"E4_2B761397134C,T000086784,U003236,C0005049,M00286,ATM,6011,10000.43,INR,QR,2026-01-07 19:22:07,2026-01-07 10:26:07,7312.153884027847,536.0,13.642078141843,D10285312,0.8606002345170745,IN,0.3907060328445346,0.5307818769795112,0.49258223335521506,,normal,0,NA,0"
"E4_80DA20462AAE,T000063693,U001615,C0002518,M00654,Grocery,5411,27.16,GBP,QR,2026-01-20 18:20:51,2026-01-19 16:37:29,19.628228293180513,1543.3666666666666,0.012717799805520732,D31744405,1.0,IN,0.0775801342458679,0.0,0.0,,normal,0,NA,0"
"E4_4B6F77279C64,T000008198,U004267,C0006603,M00300,Dining,5812,948.98,INR,POS,2026-03-15 08:30:51,2026-03-08 08:31:11,270.90017277024793,10079.666666666666,0.026875905893407315,D48481414,0.7393362118786072,IN,0.2644110688503454,0.3189116755594332,0.19472226801032294,,normal,0,NA,0"
"E4_FB4BBD502B4C,T000031249,U003867,C0006002,M00265,Dining,5812,6.24,GBP,POS,2026-02-26 14:50:09,2026-02-25 08:29:28,7.815348833604816,1820.6833333333334,0.004292536044308354,D94598705,0.576698967949766,IN,0.1513018292986669,0.5109233558289366,0.27914807719378415,,normal,0,NA,0"
"E4_3905B2DCFDCE,T000113465,U003175,C0004952,M00629,Dining,5812,28.05,GBP,QR,2026-01-14 19:37:10,2026-01-10 18:14:16,7214.393915991023,5842.9,1.234728288348427,D29820075,0.543315977191277,IN,0.23016564502859344,0.25345397183633195,0.23466729142965778,,normal,0,NA,0"
"E4_197CD2390B27,T000024022,U002641,C0004103,M00692,Grocery,5411,372.45,INR,POS,2026-02-18 19:00:59,2026-02-12 12:12:25,11.42765186579253,9048.566666666668,0.001262923984180831,D36172925,0.6445842921626269,IN,0.0,0.3187598078650625,0.1391833453589404,,normal,0,NA,0"
"E4_6973525A6A51,T000098154,U003637,C0005638,M00177,Dining,5812,1216.74,INR,POS,2026-02-01 06:00:57,2026-01-17 13:25:13,7321.508866796685,21155.733333333334,0.34607681763793036,D70479923,0.8472869905685895,IN,0.1750767713105171,0.5664719594138089,0.3065662381659983,,normal,0,NA,0"
"E4_3D29D3D02911,T000093174,U000424,C0000672,M00337,Electronics,5732,5432.31,INR,ATM,2026-02-17 11:12:51,2026-02-14 19:45:26,1716.713414878277,3807.4166666666665,0.45088666809383715,D41101747,0.8625995994953607,GB,0.2984198762031631,0.5399957598681147,0.29816326232524,,normal,0,NA,0"
"E4_0F3D95C6647F,T000104013,U004582,C0007086,M00237,Entertainment,7832,84.85,INR,ATM,2026-01-15 18:36:53,2026-01-01 14:19:18,1161.5419878447701,20417.583333333332,0.056889298252475365,D98373860,0.9086773482627766,GB,0.20671158446742155,0.11846211469906824,0.10177214358234742,,normal,0,NA,0"
"E4_0DBD4C77AF04,T000067657,U002134,C0003314,M00191,Dining,5812,885.14,INR,POS,2026-03-17 20:50:15,2026-03-05 10:22:19,6728.942111413685,17907.933333333334,0.37575201929575075,D96679834,0.8495472788899493,DE,0.2671672052488893,0.43551189074397295,0.2690271322168766,,normal,0,NA,0"
"E4_CC9D05FECF23,T000010635,U000037,C0000059,M00083,Entertainment,7832,806.33,INR,QR,2026-03-01 19:19:18,2026-02-24 07:00:58,8035.619560402718,7938.333333333333,1.0122552459041845,D36025559,0.698371299022631,DE,0.24036002847421173,0.34178502601911875,0.16686292237892525,,normal,0,NA,0"
"E4_48F585234056,T000044953,U004487,C0006938,M00073,Dining,5812,183.93,INR,POS,2026-03-26 19:54:59,2026-03-19 18:56:02,25.58318507696858,10138.95,0.00252325784000992,D86588990,0.7928085909077544,IN,0.24494533740240637,0.3911097006681846,0.2774360880191932,,normal,0,NA,0"
"E4_D4077DE7E7BC,T000030885,U004186,C0006479,M00698,Fashion,5651,65.16,GBP,POS,2026-03-20 16:17:07,2026-03-17 14:42:43,1195.4896516530614,4414.4,0.27081588701818177,D57744598,0.5447259076726053,AE,0.2773832698388111,0.3063682284393671,0.2469860781163287,,normal,0,NA,0"
"E4_4CBF8837D0F3,T000044489,U000470,C0000748,M00761,Grocery,5411,12.53,GBP,POS,2026-01-07 06:54:42,2026-01-06 10:20:47,6823.4743015388785,1233.9166666666667,5.529931222966606,D02848865,0.2128092036878464,AE,0.057568672711357724,0.13014826393317702,0.2787571548908284,,normal,0,NA,0"
"E4_6588A15F9A02,T000093840,U002648,C0004113,M00550,Grocery,5411,2672.59,INR,QR,2026-03-19 09:15:41,2026-03-15 23:15:33,1148.1439121508158,4920.133333333333,0.23335625975261154,D31980127,1.0,IN,0.0,0.0,0.0,,normal,0,NA,0"
"E4_91B8307425DE,T000032238,U004022,C0006229,M00061,Coffee,5814,137.55,INR,QR,2026-02-25 20:23:20,2026-02-23 14:23:57,17.778359019533582,3239.383333333333,0.005488192408905064,D99910661,0.5483472645876737,IN,0.0,0.0,0.0,,normal,0,NA,0"
"E4_7B8A650EF966,T000023618,U001617,C0002523,M00382,Travel,4511,427.92,GBP,POS,2026-01-18 16:08:22,2026-01-07 16:36:53,7209.0883196566565,15811.483333333334,0.4559400384945956,D40683867,0.7659812463053631,DE,0.24268629205247125,0.06921962796358126,0.09089299295932646,,normal,0,NA,0"
"E4_9FD5E27EF9C2,T000094669,U000731,C0001156,M00286,ATM,6011,11944.06,INR,QR,2026-03-05 16:38:47,2026-02-23 16:57:43,7305.334052319184,14381.066666666668,0.5079827680134424,D53287630,1.0,GB,0.3907060328445346,0.5739438044033337,0.3793665727464287,,normal,0,NA,0"
"E4_D837C232B374,T000004203,U001661,C0002593,M00360,Coffee,5814,19.89,GBP,QR,2026-03-19 19:27:48,2026-03-07 15:03:30,8173.340223063653,17544.3,0.46586869941027303,D44670128,0.7613195598012216,GB,0.028139525479586314,0.4703184421092669,0.30437731790525396,,normal,0,NA,0"
"E4_DA11CFECF57E,T000019549,U003933,C0006104,M00479,Fuel,5541,1675.49,INR,POS,2026-02-19 12:54:53,2026-02-12 14:38:59,1180.5760472553295,9975.9,0.11834281089980148,D10176408,0.678151865848554,AE,0.1626491731324071,0.4198533500938392,0.2773857211224846,,normal,0,NA,0"
"E4_B11DA945226E,T000075624,U003061,C0004777,M00243,Dining,5812,114.46,INR,POS,2026-01-15 07:43:30,2026-01-14 17:10:42,27.442535422787223,872.8,0.0314419516759707,D32662507,0.2843610136010641,AE,0.29980297167858566,0.37046960912808685,0.36987981298740086,,normal,0,NA,0"
"E4_8362F0B643E5,T000044538,U004096,C0006339,M00001,Entertainment,7832,337.63,INR,POS,2026-01-22 09:49:54,2026-01-20 20:39:20,8179.920281095657,2230.5666666666666,3.6671938137225175,D79605189,0.9732600969490364,IN,0.17450329254122518,0.3559232214106067,0.2565513970856696,,normal,0,NA,0"
"E4_2CBAF77FF65B,T000065722,U001816,C0002829,M00259,Electronics,5732,396.64,GBP,POS,2026-03-01 17:06:46,2026-02-27 12:13:01,7175.893916841338,3173.75,2.2610142313797046,D89389896,0.5949788356717594,DE,0.34496420645448533,0.19260134550818167,0.23673441450812505,,normal,0,NA,0"
"E4_52C8EFC1A3AA,T000063970,U001718,C0002681,M00578,Dining,5812,1173.25,INR,POS,2026-02-26 14:15:00,2026-02-25 09:49:54,842.5471610207575,1705.1,0.49413357634200783,D30415179,0.4912703671785342,IN,0.2501707929084376,0.10623460056608786,0.17757580416392332,,normal,0,NA,0"
"E4_4A840DAA0E2B,T000038063,U003723,C0005770,M00322,Grocery,5411,135.54,INR,POS,2026-01-06 17:59:51,2026-01-06 11:52:51,6824.980636885002,367.0,18.59667748470028,D14806680,0.6026773284098338,IN,0.07457130089846534,0.38863656136652386,0.4156138583320601,,normal,0,NA,0"
"E4_03D6F051DF84,T000060851,U004587,C0007093,M00576,Grocery,5411,3120.87,INR,POS,2026-02-03 16:01:47,2026-01-25 11:00:00,7202.17573486053,13261.783333333333,0.543077469585704,D37812366,0.9959232867054062,SG,0.06425710332089987,0.1017898450509526,0.11593605420129632,,normal,0,NA,0"
"E4_C46FC4CCAC00,T000056749,U001068,C0001667,M00511,Dining,5812,996.63,INR,POS,2026-01-20 11:30:08,2026-01-08 17:45:10,6800.961672125351,16904.966666666667,0.40230553577698175,D83016908,1.0,IN,0.19881780018341008,0.2868887603630964,0.09171155301180134,,normal,0,NA,0"
"E4_A9F51C298EE3,T000051560,U001657,C0002586,M00633,Pharmacy,5912,1346.61,INR,POS,2026-01-02 12:17:04,2026-01-02 10:19:04,15.530028265673089,118.0,0.13161040903112786,D07422318,0.4647968782534143,IN,0.17536289557470855,0.06700860914699919,0.13499701660468777,,normal,0,NA,0"
"E4_C5F8CFC105B0,T000057673,U004536,C0007011,M00772,Travel,4511,15890.99,INR,POS,2026-03-10 09:51:50,2026-03-02 21:36:17,12.718317459391637,10815.55,0.0011759288671765779,D76378532,0.5732059129882596,IN,0.26084701664707394,0.27043320918421804,0.17867679752845966,,normal,0,NA,0"
"E4_28769586D7AA,T000058672,U003189,C0004975,M00749,Entertainment,7832,1617.04,INR,POS,2026-01-20 19:57:12,2026-01-10 18:15:47,1759.299475892104,14501.416666666666,0.12131914531744169,D09767907,0.6575352062924559,US,0.2391905794243028,0.4421687555123354,0.2606398316967917,,normal,0,NA,0"
"E4_1B55776D8326,T000016792,U004992,C0007720,M00175,Pharmacy,5912,3.23,GBP,POS,2026-03-07 22:09:14,2026-03-07 14:49:37,7189.713500945199,439.6166666666667,16.35450620073215,D97719037,0.7871295498643047,IN,0.10374192998674814,0.32575077181689427,0.4264420665565903,,normal,0,NA,0"
"E4_78DAE70C6433,T000032037,U000278,C0000436,M00437,Coffee,5814,15.39,INR,ATM,2026-02-13 09:16:31,2026-02-11 18:32:01,842.6943507685672,2324.5,0.3625271459533522,D23526804,0.6290877181120017,IN,0.0945677985521148,0.3881994785368154,0.2876065030341804,,normal,0,NA,0"
"E4_EA81F9944286,T000117252,U004414,C0006818,M00655,ATM,6011,12072.93,INR,POS,2026-01-31 00:26:07,2026-01-29 10:15:41,8028.066376926133,2290.4333333333334,3.5050425873966202,D80211160,0.9845518017231598,IN,0.5173306988882846,0.6112035668560479,0.3730597474171631,,normal,0,NA,0"
"E4_9A865136A3BE,T000061393,U003227,C0005037,M00003,Dining,5812,180.72,INR,POS,2026-01-30 06:34:22,2026-01-29 10:25:44,4.250607003225416,1208.6333333333334,0.00351687057273401,D72629572,0.4430843247976579,SG,0.1363674571365464,0.3488734890220833,0.317256940691714,,normal,0,NA,0"
"E4_28D09AC29D45,T000034414,U003638,C0005640,M00129,Pharmacy,5912,1315.8,INR,QR,2026-02-20 19:38:48,2026-02-14 13:45:15,23.147380036507286,8993.55,0.0025737756543864534,D98380396,1.0,GB,0.1112746465680241,0.08457132377376772,0.04221787137038403,,normal,0,NA,0"
"E4_545D1DBFA588,T000011094,U001760,C0002742,M00175,Pharmacy,5912,1261.81,INR,POS,2026-03-19 14:28:17,2026-03-03 07:25:49,7187.022688956856,23462.466666666667,0.3063199957218276,D96619023,1.0,IN,0.10374192998674814,0.37576473097392604,0.09460048010722992,,normal,0,NA,0"
"E4_59851D8284DB,T000057325,U003470,C0005381,M00147,Fuel,5541,3.96,GBP,POS,2026-03-13 12:24:12,2026-03-10 11:47:33,128.3205252048892,4356.65,0.029453944017740517,D35657853,0.7830834665656382,IN,0.14766598092593927,0.3314038431217748,0.24399762980201406,,normal,0,NA,0"
"E4_C9575E46721B,T000050108,U000373,C0000586,M00334,Travel,4511,75.35,GBP,POS,2026-01-16 17:26:22,2026-01-06 11:50:42,8176.635538026208,14735.666666666666,0.5548873846693652,D35412980,0.7209839346433776,IN,0.2670793565002545,0.0,0.07159016503473001,,normal,0,NA,0"
"E4_44BFE73069CA,T000117326,U000739,C0001167,M00800,Travel,4511,24166.62,INR,POS,2026-03-12 12:02:53,2026-03-09 19:35:39,6714.575356826815,3867.233333333333,1.736273655626369,D26534927,0.49535142218162226,IN,0.18817039875600194,0.6051277777450008,0.41027302808951127,,normal,0,NA,0"
"E4_A5ACE6044408,T000079756,U004654,C0007203,M00353,Fashion,5651,3.66,GBP,POS,2026-01-20 20:04:03,2026-01-12 17:23:34,1743.597491039586,11680.483333333334,0.14927442994278942,D87872857,0.6026790502305783,IN,0.2880519727127044,0.0268638193671083,0.0634070765397105,,normal,0,NA,0"
"E4_81DE1D301B15,T000084678,U001099,C0001720,M00271,Electronics,5732,310.63,GBP,POS,2026-03-19 19:59:03,2026-03-13 15:08:45,1139.1657612039764,8930.3,0.12756186927695334,D12371540,0.6850009903273766,AE,0.41947735722631563,0.5930446323848406,0.3300116993157479,,normal,0,NA,0"
"E4_B8300C0B21CC,T000035605,U004307,C0006660,M00351,Coffee,5814,212.01,INR,POS,2026-01-26 12:31:17,2026-01-25 20:22:16,20.671121350515836,969.0166666666667,0.021332059665828764,D90767268,0.7481559068059919,IN,0.10211064601233884,0.4778311325047356,0.24629036616427558,,normal,0,NA,0"
"E4_75982B2CCD0C,T000055392,U001717,C0002680,M00586,Electronics,5732,25155.02,INR,POS,2026-03-28 17:56:01,2026-03-27 00:39:59,1719.0567901669683,2476.0333333333333,0.6942785329358658,D65813084,0.9386229571594307,GB,0.2637001358379035,0.7303803498257984,0.256228045191208,,normal,0,NA,0"
"E4_9A4CFA80B96A,T000067288,U000286,C0000449,M00682,Fuel,5541,4178.92,INR,POS,2026-01-12 23:01:47,2026-01-11 12:14:23,1170.9624897612453,2087.4,0.5609669875257475,D47505640,0.5470689975766512,SG,0.2790367645313309,0.5083016749943453,0.23263970438914494,,normal,0,NA,0"
"E4_D74E8E2E8AD0,T000010203,U004402,C0006801,M00027,ATM,6011,20.91,GBP,ATM,2026-02-20 18:39:29,2026-02-18 14:48:58,251.51272119934993,3110.516666666667,0.08085882448232606,D44799382,0.527691256798551,IN,0.4003654042680093,0.5540920268919941,0.425393654943579,,normal,0,NA,0"
"E4_8E42ECD88F4B,T000091720,U004639,C0007179,M00724,Electronics,5732,34156.13,INR,POS,2026-03-05 16:36:14,2026-03-02 11:31:22,1735.906008576273,4624.866666666667,0.3753418495472892,D05003376,0.46314734736698693,IN,0.3065999278270108,0.2860359590789494,0.3381713949633948,,normal,0,NA,0"
"E4_2AE691B86C0E,T000016685,U003920,C0006084,M00720,ATM,6011,8.5,GBP,QR,2026-03-21 10:58:32,2026-03-17 12:37:52,22.723217524923804,5660.666666666667,0.004014229924318185,D95998461,0.7625450775248946,IN,0.42506399919206034,0.3340880290929369,0.23728421624069151,,normal,0,NA,0"
"E4_C20974F83F28,T000009498,U004929,C0007621,M00603,Coffee,5814,225.42,INR,POS,2026-01-06 12:42:44,2026-01-02 05:13:31,26.229467624851967,6209.216666666666,0.004224279652804079,D82779583,0.7073504125889263,IN,0.05378406344043625,0.057366469144194535,0.06629305692672693,,normal,0,NA,0"
"E4_837A5241E751,T000082055,U000684,C0001079,M00259,Electronics,5732,45229.17,INR,POS,2026-01-21 18:51:41,2026-01-14 20:24:35,8029.2967702211,9987.1,0.8039667941866107,D76458889,0.6757142372431664,IN,0.34496420645448533,0.5484416995598886,0.35636773323101345,,normal,0,NA,0"
"E4_2470F0652EE1,T000102149,U002438,C0003786,M00056,Grocery,5411,1096.61,INR,POS,2026-01-31 20:44:05,2026-01-26 11:39:09,10.131629590654471,7744.933333333333,0.0013081622726239697,D80183033,0.5767291951501333,IN,0.10529960914847061,0.3065888820148745,0.2376811155173867,,normal,0,NA,0"
"E4_6B0AE00719AD,T000043656,U000011,C0000020,M00215,Coffee,5814,185.19,INR,POS,2026-01-09 21:57:12,2026-01-04 06:24:59,32.9462682450043,8132.216666666666,0.004051326913121797,D76974599,0.8396380449797765,IN,0.1565314969056015,0.3425688618250481,0.24677305340722672,,normal,0,NA,0"
"E4_D410FDAAC11E,T000018744,U004400,C0006798,M00304,Grocery,5411,3394.55,INR,POS,2026-01-11 19:27:09,2026-01-09 20:44:59,1163.493115730682,2802.1666666666665,0.4152119606485512,D09994891,0.8568255164543778,IN,0.05096766306349994,0.3740906868318816,0.1357465741201239,,normal,0,NA,0"
"E4_ED8B3473E512,T000116997,U001441,C0002241,M00687,Pharmacy,5912,1393.01,INR,POS,2026-02-03 05:32:09,2026-02-01 16:44:55,1710.4379478719304,2207.233333333333,0.7749239385076025,D46922483,0.8958973732131461,IN,0.05141103107726794,0.3820977646466551,0.14880573802547348,,normal,0,NA,0"
"E4_3DD879CB29B6,T000106797,U003900,C0006053,M00134,Electronics,5732,25658.13,INR,ATM,2026-01-02 08:58:39,2026-01-01 14:35:18,144.48160492038755,1103.35,0.13094811702577383,D11261828,0.7021718207315212,IN,0.3620014534945315,0.6094366772663181,0.3795544643345191,,normal,0,NA,0"
"E4_9FFDB66F9686,T000115569,U000869,C0001369,M00018,Dining,5812,1347.03,INR,POS,2026-03-22 09:07:50,2026-03-07 11:45:15,264.4949809978625,21442.583333333332,0.012335033371967582,D35575549,0.9031774590532322,GB,0.15453482766174095,0.5184496005460221,0.29921800794189707,,normal,0,NA,0"
"E4_44B54039B7DE,T000113061,U003793,C0005887,M00620,Coffee,5814,0.39,GBP,ATM,2026-03-16 20:12:27,2026-02-22 21:36:18,3.9901343006711922,31596.15,0.00012628545885087872,D78844885,1.0,IN,0.15647096953678297,0.4529644934759277,0.18212328973655,,normal,0,NA,0"
"E4_A9D32FCB7F8A,T000119851,U001922,C0002992,M00480,Electronics,5732,27645.03,INR,POS,2026-01-26 06:13:28,2026-01-23 09:30:25,1193.1273827203129,4123.05,0.2893797995950359,D32372559,0.526102281794265,US,0.41188142501354097,0.5934033127262415,0.4186043288370233,,normal,0,NA,0"
"E4_43043BEA7521,T000023249,U004764,C0007369,M00642,Travel,4511,74861.73,INR,POS,2026-01-22 07:54:57,2026-01-21 20:19:30,8045.901270224921,695.45,11.569345416960127,D08207946,0.7364176503240253,IN,0.30070092286194167,0.1386704726401545,0.3893360050479574,,fraud,0,NA,0"
"E4_E9F7DD9CD943,T000050475,U002914,C0004544,M00578,Dining,5812,543.94,INR,ATM,2026-02-11 16:05:59,2026-02-05 14:23:49,8031.847820984181,8742.166666666666,0.918747963432122,D07718374,0.5685686833591902,SG,0.2501707929084376,0.4407353241947745,0.3885902644907149,,normal,0,NA,0"
"E4_4190EA784F1D,T000023571,U003196,C0004983,M00400,Electronics,5732,52001.71,INR,ATM,2026-03-14 16:20:40,2026-03-11 18:04:31,1146.3724832540329,4216.15,0.2719003079240618,D25026719,0.7361709246894461,IN,0.3819597048454139,0.28065021797638534,0.3012476392353517,,normal,0,NA,0"
"E4_1CE285FDA9D9,T000006000,U003066,C0004787,M00359,ATM,6011,866.05,INR,POS,2026-02-27 11:10:54,2026-02-02 11:20:28,1152.0230061999616,35990.433333333334,0.03200914519506466,D01391678,0.4689336514306184,IN,0.4314060541510716,0.5021469150298246,0.4203862063596634,,normal,0,NA,0"
"E4_DB639EC361BE,T000104205,U002911,C0004539,M00642,Travel,4511,22860.1,INR,QR,2026-03-25 04:10:09,2026-03-20 16:16:58,255.66130876793042,6473.183333333333,0.039495453102867534,D67704816,0.9626500726368497,IN,0.30070092286194167,0.2608418523038824,0.160307142521797,,normal,0,NA,0"
"E4_C730F22826A6,T000049281,U000960,C0001517,M00631,Grocery,5411,657.77,INR,POS,2026-01-29 12:01:30,2026-01-28 11:57:37,6728.9312425867665,1443.8833333333334,4.660301208029342,D06200913,0.6020337401765252,GB,0.10254083954187311,0.328756295290932,0.21732328412919238,,normal,0,NA,0"
